source_skill,target_skill
Python,JavaScript
JavaScript,TypeScript
TypeScript,Java
Java,Go
Go,Rust
C#,C++
C++,SQL
SQL,NoSQL
NoSQL,React
React,Vue
Angular,Node.js
Node.js,Express
Express,FastAPI
FastAPI,Django
Django,Flask
MongoDB,PostgreSQL
PostgreSQL,MySQL
MySQL,Redis
Redis,Kafka
Kafka,RabbitMQ
Docker,Kubernetes
Kubernetes,Terraform
Terraform,AWS
AWS,Azure
Azure,GCP
CI/CD,Git
Git,Linux
Linux,System Design
System Design,Microservices
Microservices,GraphQL
REST API,NLP
NLP,Computer Vision
Computer Vision,MLOps
MLOps,Data Modeling
Data Modeling,ETL
Feature Engineering,Pandas
Pandas,NumPy
NumPy,scikit-learn
scikit-learn,PyTorch
PyTorch,TensorFlow
Prompt Engineering,Frontend Fundamentals
Frontend Fundamentals,Frontend Fundamentals Advanced
Frontend Fundamentals Advanced,Frontend Fundamentals Lab
Frontend Fundamentals Lab,Frontend Design
Frontend Design,Frontend Design Advanced
Frontend Design Lab,Frontend Implementation
Frontend Implementation,Frontend Implementation Advanced
Frontend Implementation Advanced,Frontend Implementation Lab
Frontend Implementation Lab,Frontend Optimization
Frontend Optimization,Frontend Optimization Advanced
Frontend Optimization Lab,Frontend Monitoring
Frontend Monitoring,Frontend Monitoring Advanced
Frontend Monitoring Advanced,Frontend Monitoring Lab
Frontend Monitoring Lab,Frontend Automation
Frontend Automation,Frontend Automation Advanced
Frontend Automation Lab,Frontend Scaling
Frontend Scaling,Frontend Scaling Advanced
Frontend Scaling Advanced,Frontend Scaling Lab
Frontend Scaling Lab,Frontend Governance
Frontend Governance,Frontend Governance Advanced
Frontend Governance Lab,Frontend Operations
Frontend Operations,Frontend Operations Advanced
Frontend Operations Advanced,Frontend Operations Lab
Frontend Operations Lab,Frontend Debugging
Frontend Debugging,Frontend Debugging Advanced
Frontend Debugging Lab,Frontend Integration
Frontend Integration,Frontend Integration Advanced
Frontend Integration Advanced,Frontend Integration Lab
Frontend Integration Lab,Frontend Best Practices
Frontend Best Practices,Frontend Best Practices Advanced
Frontend Best Practices Lab,Backend Fundamentals
Backend Fundamentals,Backend Fundamentals Advanced
Backend Fundamentals Advanced,Backend Fundamentals Lab
Backend Fundamentals Lab,Backend Design
Backend Design,Backend Design Advanced
Backend Design Lab,Backend Implementation
Backend Implementation,Backend Implementation Advanced
Backend Implementation Advanced,Backend Implementation Lab
Backend Implementation Lab,Backend Optimization
Backend Optimization,Backend Optimization Advanced
Backend Optimization Lab,Backend Monitoring
Backend Monitoring,Backend Monitoring Advanced
Backend Monitoring Advanced,Backend Monitoring Lab
Backend Monitoring Lab,Backend Automation
Backend Automation,Backend Automation Advanced
Backend Automation Lab,Backend Scaling
Backend Scaling,Backend Scaling Advanced
Backend Scaling Advanced,Backend Scaling Lab
Backend Scaling Lab,Backend Governance
Backend Governance,Backend Governance Advanced
Backend Governance Lab,Backend Operations
Backend Operations,Backend Operations Advanced
Backend Operations Advanced,Backend Operations Lab
Backend Operations Lab,Backend Debugging
Backend Debugging,Backend Debugging Advanced
Backend Debugging Lab,Backend Integration
Backend Integration,Backend Integration Advanced
Backend Integration Advanced,Backend Integration Lab
Backend Integration Lab,Backend Best Practices
Backend Best Practices,Backend Best Practices Advanced
Backend Best Practices Lab,Data Fundamentals
Data Fundamentals,Data Fundamentals Advanced
Data Fundamentals Advanced,Data Fundamentals Lab
Data Fundamentals Lab,Data Design
Data Design,Data Design Advanced
Data Design Lab,Data Implementation
Data Implementation,Data Implementation Advanced
Data Implementation Advanced,Data Implementation Lab
Data Implementation Lab,Data Optimization
Data Optimization,Data Optimization Advanced
Data Optimization Lab,Data Monitoring
Data Monitoring,Data Monitoring Advanced
Data Monitoring Advanced,Data Monitoring Lab
Data Monitoring Lab,Data Automation
Data Automation,Data Automation Advanced
Data Automation Lab,Data Scaling
Data Scaling,Data Scaling Advanced
Data Scaling Advanced,Data Scaling Lab
Data Scaling Lab,Data Governance
Data Governance,Data Governance Advanced
Data Governance Lab,Data Operations
Data Operations,Data Operations Advanced
Data Operations Advanced,Data Operations Lab
Data Operations Lab,Data Debugging
Data Debugging,Data Debugging Advanced
Data Debugging Lab,Data Integration
Data Integration,Data Integration Advanced
Data Integration Advanced,Data Integration Lab
Data Integration Lab,Data Best Practices
Data Best Practices,Data Best Practices Advanced
Data Best Practices Lab,Cloud Fundamentals
Cloud Fundamentals,Cloud Fundamentals Advanced
Cloud Fundamentals Advanced,Cloud Fundamentals Lab
Cloud Fundamentals Lab,Cloud Design
Cloud Design,Cloud Design Advanced
Cloud Design Lab,Cloud Implementation
Cloud Implementation,Cloud Implementation Advanced
Cloud Implementation Advanced,Cloud Implementation Lab
Cloud Implementation Lab,Cloud Optimization
Cloud Optimization,Cloud Optimization Advanced
Cloud Optimization Lab,Cloud Monitoring
Cloud Monitoring,Cloud Monitoring Advanced
Cloud Monitoring Advanced,Cloud Monitoring Lab
Cloud Monitoring Lab,Cloud Automation
Cloud Automation,Cloud Automation Advanced
Cloud Automation Lab,Cloud Scaling
Cloud Scaling,Cloud Scaling Advanced
Cloud Scaling Advanced,Cloud Scaling Lab
Cloud Scaling Lab,Cloud Governance
Cloud Governance,Cloud Governance Advanced
Cloud Governance Lab,Cloud Operations
Cloud Operations,Cloud Operations Advanced
Cloud Operations Advanced,Cloud Operations Lab
Cloud Operations Lab,Cloud Debugging
Cloud Debugging,Cloud Debugging Advanced
Cloud Debugging Lab,Cloud Integration
Cloud Integration,Cloud Integration Advanced
Cloud Integration Advanced,Cloud Integration Lab
Cloud Integration Lab,Cloud Best Practices
Cloud Best Practices,Cloud Best Practices Advanced
Cloud Best Practices Lab,Security Fundamentals
Security Fundamentals,Security Fundamentals Advanced
Security Fundamentals Advanced,Security Fundamentals Lab
Security Fundamentals Lab,Security Design
Security Design,Security Design Advanced
Security Design Lab,Security Implementation
Security Implementation,Security Implementation Advanced
Security Implementation Advanced,Security Implementation Lab
Security Implementation Lab,Security Optimization
Security Optimization,Security Optimization Advanced
Security Optimization Lab,Security Monitoring
Security Monitoring,Security Monitoring Advanced
Security Monitoring Advanced,Security Monitoring Lab
Security Monitoring Lab,Security Automation
Security Automation,Security Automation Advanced
Security Automation Lab,Security Scaling
Security Scaling,Security Scaling Advanced
Security Scaling Advanced,Security Scaling Lab
Security Scaling Lab,Security Governance
Security Governance,Security Governance Advanced
Security Governance Lab,Security Operations
Security Operations,Security Operations Advanced
Security Operations Advanced,Security Operations Lab
Security Operations Lab,Security Debugging
Security Debugging,Security Debugging Advanced
Security Debugging Lab,Security Integration
Security Integration,Security Integration Advanced
Security Integration Advanced,Security Integration Lab
Security Integration Lab,Security Best Practices
Security Best Practices,Security Best Practices Advanced
Security Best Practices Lab,DevOps Fundamentals
DevOps Fundamentals,DevOps Fundamentals Advanced
DevOps Fundamentals Advanced,DevOps Fundamentals Lab
DevOps Fundamentals Lab,DevOps Design
DevOps Design,DevOps Design Advanced
DevOps Design Lab,DevOps Implementation
DevOps Implementation,DevOps Implementation Advanced
DevOps Implementation Advanced,DevOps Implementation Lab
DevOps Implementation Lab,DevOps Optimization
DevOps Optimization,DevOps Optimization Advanced
DevOps Optimization Lab,DevOps Monitoring
DevOps Monitoring,DevOps Monitoring Advanced
DevOps Monitoring Advanced,DevOps Monitoring Lab
DevOps Monitoring Lab,DevOps Automation
DevOps Automation,DevOps Automation Advanced
DevOps Automation Lab,DevOps Scaling
DevOps Scaling,DevOps Scaling Advanced
DevOps Scaling Advanced,DevOps Scaling Lab
DevOps Scaling Lab,DevOps Governance
DevOps Governance,DevOps Governance Advanced
DevOps Governance Lab,DevOps Operations
DevOps Operations,DevOps Operations Advanced
DevOps Operations Advanced,DevOps Operations Lab
DevOps Operations Lab,DevOps Debugging
DevOps Debugging,DevOps Debugging Advanced
DevOps Debugging Lab,DevOps Integration
DevOps Integration,DevOps Integration Advanced
DevOps Integration Advanced,DevOps Integration Lab
DevOps Integration Lab,DevOps Best Practices
DevOps Best Practices,DevOps Best Practices Advanced
DevOps Best Practices Lab,AI Fundamentals
AI Fundamentals,AI Fundamentals Advanced
AI Fundamentals Advanced,AI Fundamentals Lab
AI Fundamentals Lab,AI Design
AI Design,AI Design Advanced
AI Design Lab,AI Implementation
AI Implementation,AI Implementation Advanced
AI Implementation Advanced,AI Implementation Lab
AI Implementation Lab,AI Optimization
AI Optimization,AI Optimization Advanced
AI Optimization Lab,AI Monitoring
AI Monitoring,AI Monitoring Advanced
AI Monitoring Advanced,AI Monitoring Lab
AI Monitoring Lab,AI Automation
AI Automation,AI Automation Advanced
AI Automation Lab,AI Scaling
AI Scaling,AI Scaling Advanced
AI Scaling Advanced,AI Scaling Lab
AI Scaling Lab,AI Governance
AI Governance,AI Governance Advanced
AI Governance Lab,AI Operations
AI Operations,AI Operations Advanced
AI Operations Advanced,AI Operations Lab
AI Operations Lab,AI Debugging
AI Debugging,AI Debugging Advanced
AI Debugging Lab,AI Integration
AI Integration,AI Integration Advanced
AI Integration Advanced,AI Integration Lab
AI Integration Lab,AI Best Practices
AI Best Practices,AI Best Practices Advanced
AI Best Practices Lab,Product Fundamentals
Product Fundamentals,Product Fundamentals Advanced
Product Fundamentals Advanced,Product Fundamentals Lab
Product Fundamentals Lab,Product Design
Product Design,Product Design Advanced
Product Design Lab,Product Implementation
Product Implementation,Product Implementation Advanced
Product Implementation Advanced,Product Implementation Lab
Product Implementation Lab,Product Optimization
Product Optimization,Product Optimization Advanced
Product Optimization Lab,Product Monitoring
Product Monitoring,Product Monitoring Advanced
Product Monitoring Advanced,Product Monitoring Lab
Product Monitoring Lab,Product Automation
Product Automation,Product Automation Advanced
Product Automation Lab,Product Scaling
Product Scaling,Product Scaling Advanced
Product Scaling Advanced,Product Scaling Lab
Product Scaling Lab,Product Governance
Product Governance,Product Governance Advanced
Product Governance Lab,Product Operations
Product Operations,Product Operations Advanced
Product Operations Advanced,Product Operations Lab
Product Operations Lab,Product Debugging
Product Debugging,Product Debugging Advanced
Product Debugging Lab,Product Integration
Product Integration,Product Integration Advanced
Product Integration Advanced,Product Integration Lab
Product Integration Lab,Product Best Practices
Product Best Practices,Product Best Practices Advanced
Product Best Practices Lab,Mobile Fundamentals
Mobile Fundamentals,Mobile Fundamentals Advanced
Mobile Fundamentals Advanced,Mobile Fundamentals Lab
Mobile Fundamentals Lab,Mobile Design
